Date,Team_A,Team_B,Score_A,Score_B,Tournament,Location_A,Is_Playoff,Is_GoD
2023-11-16,Georgia,Scotland,2,2,QUAL_EURO,Home,0,0
2023-11-16,Estonia,Austria,0,2,QUAL_EURO,Home,0,0
2023-11-16,Azerbaijan,Sweden,3,0,QUAL_EURO,Home,0,0
2023-11-16,Bulgaria,Hungary,2,2,QUAL_EURO,Home,0,0
2023-11-16,Montenegro,Lithuania,2,0,QUAL_EURO,Home,0,0
2023-11-16,Liechtenstein,Portugal,0,2,QUAL_EURO,Home,0,0
2023-11-16,Luxembourg,Bosnia and Herzegovina,4,1,QUAL_EURO,Home,0,0
2023-11-16,Slovakia,Iceland,4,2,QUAL_EURO,Home,0,0
2023-11-17,England,Malta,2,0,QUAL_EURO,Home,0,0
2023-11-17,Italy,North Macedonia,5,2,QUAL_EURO,Home,0,0
2023-11-17,Moldova,Albania,1,1,QUAL_EURO,Home,0,0
2023-11-17,Poland,Czech Republic,1,1,QUAL_EURO,Home,0,0
2023-11-17,Finland,Northern Ireland,4,0,QUAL_EURO,Home,0,0
2023-11-17,Denmark,Slovenia,2,1,QUAL_EURO,Home,0,0
2023-11-17,Kazakhstan,San Marino,3,1,QUAL_EURO,Home,0,0
2023-11-18,France,Gibraltar,14,0,QUAL_EURO,Home,0,0
2023-11-18,Netherlands,Republic of Ireland,1,0,QUAL_EURO,Home,0,0
2023-11-18,Armenia,Wales,1,1,QUAL_EURO,Home,0,0
2023-11-18,Latvia,Croatia,0,2,QUAL_EURO,Home,0,0
2023-11-18,Belarus,Andorra,1,0,QUAL_EURO,Neutral,0,0
2023-11-18,Switzerland,Kosovo,1,1,QUAL_EURO,Home,0,0
2023-11-18,Israel,Romania,1,2,QUAL_EURO,Neutral,0,0
2023-11-19,Scotland,Norway,3,3,QUAL_EURO,Home,0,0
2023-11-19,Spain,Georgia,3,1,QUAL_EURO,Home,0,0
2023-11-19,Belgium,Azerbaijan,5,0,QUAL_EURO,Home,0,0
2023-11-19,Sweden,Estonia,2,0,QUAL_EURO,Home,0,0
2023-11-19,Hungary,Montenegro,3,1,QUAL_EURO,Home,0,0
2023-11-19,Serbia,Bulgaria,2,2,QUAL_EURO,Home,0,0
2023-11-19,Portugal,Iceland,2,0,QUAL_EURO,Home,0,0
2023-11-19,Bosnia and Herzegovina,Slovakia,1,2,QUAL_EURO,Home,0,0
2023-11-19,Liechtenstein,Luxembourg,0,1,QUAL_EURO,Home,0,0
2023-11-20,North Macedonia,England,1,1,QUAL_EURO,Home,0,0
2023-11-20,Ukraine,Italy,0,0,QUAL_EURO,Neutral,0,0
2023-11-20,Albania,Faroe Islands,0,0,QUAL_EURO,Home,0,0
2023-11-20,Czech Republic,Moldova,3,0,QUAL_EURO,Home,0,0
2023-11-20,Northern Ireland,Denmark,2,0,QUAL_EURO,Home,0,0
2023-11-20,San Marino,Finland,1,2,QUAL_EURO,Home,0,0
2023-11-20,Slovenia,Kazakhstan,2,1,QUAL_EURO,Home,0,0
